[INFO ] [2022-07-20 20:26:42,487] Register - step 1 - click to 'Register' link
[INFO ] [2022-07-23 10:24:53,486] Register - step 4 - input value into 'Email' textbox: automation4354@gmail.com
[INFO ] [2022-07-23 10:24:53,738] Register - step 5 - input value into 'Password' textbox: 123456
[INFO ] [2022-07-23 10:24:53,929] Register - step 6 - input value into 'Confirm password' textbox: 123456
[INFO ] [2022-07-23 10:24:54,121] Register - step 7 - click to 'Register' button
[INFO ] [2022-07-23 10:24:55,911] Register - step 8 - verify customer info
[INFO ] [2022-07-23 10:24:57,390] Login - step 1 - click to 'Login' link
[INFO ] [2022-07-23 10:24:59,514] Login - step 2 - input value into 'Email' textbox: automation4354@gmail.com
[INFO ] [2022-07-23 10:24:59,792] Login - step 3 - input value into 'Password' textbox: 123456
[INFO ] [2022-07-23 10:25:00,044] Login - step 4 - click to 'Login' button
[INFO ] [2022-07-23 10:25:01,360] Login - step 5 - verify My Account Link displayed
[INFO ] [2022-07-23 11:11:19,087] Register - step 1 - click to 'Register' link
[INFO ] [2022-07-23 11:11:20,301] Register - step 2 - input value into ' First name' textbox: Automation
[INFO ] [2022-07-23 11:11:20,510] Register - step 3 - input value into 'Last name' textbox: FC
[INFO ] [2022-07-23 11:11:20,683] Register - step 4 - input value into 'Email' textbox: automation8715@gmail.com
[INFO ] [2022-07-23 11:11:20,919] Register - step 5 - input value into 'Password' textbox: 123456
[INFO ] [2022-07-23 11:11:21,081] Register - step 6 - input value into 'Confirm password' textbox: 123456
[INFO ] [2022-07-23 11:11:21,249] Register - step 7 - click to 'Register' button
[INFO ] [2022-07-23 11:11:23,392] Register - step 8 - verify customer info
[INFO ] [2022-07-23 11:43:24,126] Register - step 1 - click to 'Register' link
[INFO ] [2022-07-23 11:43:25,319] Register - step 2 - input value into ' First name' textbox: Automation
[INFO ] [2022-07-23 11:43:25,517] Register - step 3 - input value into 'Last name' textbox: FC
[INFO ] [2022-07-23 11:43:25,669] Register - step 4 - input value into 'Email' textbox: automation7821@gmail.com
[INFO ] [2022-07-23 11:43:25,865] Register - step 5 - input value into 'Password' textbox: 123456
[INFO ] [2022-07-23 11:43:26,010] Register - step 6 - input value into 'Confirm password' textbox: 123456
[INFO ] [2022-07-23 11:43:26,158] Register - step 7 - click to 'Register' button
[INFO ] [2022-07-23 11:43:28,417] Register - step 8 - verify customer info
